run,generation,evaluations,best_fitness
1,0,2000,73464
1,1,4000,76643
1,2,6000,77709
1,3,8000,79135
1,4,10000,80055
1,5,12000,81036
1,6,14000,81794
1,7,16000,82250
1,8,18000,82817
1,9,20000,83256
1,10,22000,83852
1,11,24000,84255
1,12,26000,84277
1,13,28000,84336
1,14,30000,84591
1,15,32000,84631
1,16,34000,84952
1,17,36000,85309
1,18,38000,85313
1,19,40000,85664
1,20,42000,85947
1,21,44000,86005
1,22,46000,86135
1,23,48000,86309
1,24,50000,86444
1,25,52000,86527
1,26,54000,86618
1,27,56000,86710
1,28,58000,86761
1,29,60000,86924
1,30,62000,86975
1,31,64000,87048
1,32,66000,87117
1,33,68000,87132
1,34,70000,87180
1,35,72000,87231
1,36,74000,87317
1,37,76000,87422
1,38,78000,87471
1,39,80000,87570
1,40,82000,87581
1,41,84000,87693
1,42,86000,87736
1,43,88000,87801
1,44,90000,87843
1,45,92000,87846
1,46,94000,87878
1,47,96000,87910
1,48,98000,87978
1,49,100000,87979
2,0,2000,73374
2,1,4000,76221
2,2,6000,78011
2,3,8000,78714
2,4,10000,79980
2,5,12000,81565
2,6,14000,82167
2,7,16000,82985
2,8,18000,83337
2,9,20000,83647
2,10,22000,84013
2,11,24000,84104
2,12,26000,84369
2,13,28000,84477
2,14,30000,84940
2,15,32000,85248
2,16,34000,85463
2,17,36000,85508
2,18,38000,85823
2,19,40000,85915
2,20,42000,86210
2,21,44000,86369
2,22,46000,86430
2,23,48000,86591
2,24,50000,86681
2,25,52000,86700
2,26,54000,86813
2,27,56000,86861
2,28,58000,86943
2,29,60000,87042
2,30,62000,87239
2,31,64000,87261
2,32,66000,87423
2,33,68000,87464
2,34,70000,87480
2,35,72000,87581
2,36,74000,87618
2,37,76000,87637
2,38,78000,87687
2,39,80000,87755
2,40,82000,87763
2,41,84000,87790
2,42,86000,87853
2,43,88000,87881
2,44,90000,87922
2,45,92000,87938
2,46,94000,87983
2,47,96000,88031
2,48,98000,88037
2,49,100000,88103
3,0,2000,72902
3,1,4000,76478
3,2,6000,77713
3,3,8000,79312
3,4,10000,80350
3,5,12000,81863
3,6,14000,82273
3,7,16000,83256
3,8,18000,83656
3,9,20000,83980
3,10,22000,84153
3,11,24000,84569
3,12,26000,84784
3,13,28000,85099
3,14,30000,85322
3,15,32000,85607
3,16,34000,85871
3,17,36000,86098
3,18,38000,86189
3,19,40000,86402
3,20,42000,86647
3,21,44000,86702
3,22,46000,86702
3,23,48000,86755
3,24,50000,86791
3,25,52000,86871
3,26,54000,86939
3,27,56000,87033
3,28,58000,87240
3,29,60000,87369
3,30,62000,87387
3,31,64000,87449
3,32,66000,87517
3,33,68000,87530
3,34,70000,87570
3,35,72000,87607
3,36,74000,87665
3,37,76000,87674
3,38,78000,87724
3,39,80000,87735
3,40,82000,87792
