run,generation,evaluations,best_fitness
1,0,10000,997358
1,1,20000,1101191
1,2,30000,1197805
1,3,40000,1297712
1,4,50000,1396243
1,5,60000,1523004
1,6,70000,1595310
1,7,80000,1673049
1,8,90000,1733769
1,9,100000,1782163
1,10,110000,1819891
1,11,120000,1848114
1,12,130000,1867729
1,13,140000,1887659
1,14,150000,1898216
1,15,160000,1909846
1,16,170000,1918480
1,17,180000,1924632
1,18,190000,1930566
1,19,200000,1936111
1,20,210000,1937914
1,21,220000,1944880
1,22,230000,1946526
1,23,240000,1948706
1,24,250000,1950355
1,25,260000,1952673
1,26,270000,1953923
1,27,280000,1955066
1,28,290000,1956767
1,29,300000,1957948
1,30,310000,1959845
1,31,320000,1960760
1,32,330000,1961815
1,33,340000,1962345
1,34,350000,1964265
1,35,360000,1964336
1,36,370000,1964996
1,37,380000,1966710
1,38,390000,1967348
1,39,400000,1967416
1,40,410000,1967928
1,41,420000,1968833
1,42,430000,1970956
1,43,440000,1971344
1,44,450000,1971344
1,45,460000,1972065
1,46,470000,1972471
1,47,480000,1972792
1,48,490000,1973295
1,49,500000,1974148
1,50,510000,1974467
1,51,520000,1975108
1,52,530000,1975253
1,53,540000,1975803
1,54,550000,1976127
1,55,560000,1976575
1,56,570000,1977051
1,57,580000,1977179
1,58,590000,1977611
1,59,600000,1977886
1,60,610000,1978130
1,61,620000,1978350
1,62,630000,1979073
1,63,640000,1979073
1,64,650000,1979278
1,65,660000,1979443
1,66,670000,1979555
1,67,680000,1979764
1,68,690000,1980006
1,69,700000,1980289
1,70,710000,1980329
1,71,720000,1980518
1,72,730000,1980766
1,73,740000,1980895
1,74,750000,1980981
1,75,760000,1981118
1,76,770000,1981236
1,77,780000,1981447
1,78,790000,1981606
1,79,800000,1981706
1,80,810000,1981850
1,81,820000,1981850
1,82,830000,1982009
1,83,840000,1982022
1,84,850000,1982115
1,85,860000,1982179
1,86,870000,1982217
1,87,880000,1982233
1,88,890000,1982286
1,89,900000,1982315
1,90,910000,1982354
1,91,920000,1982429
1,92,930000,1982435
1,93,940000,1982464
1,94,950000,1982507
1,95,960000,1982513
1,96,970000,1982554
1,97,980000,1982570
1,98,990000,1982589
1,99,1000000,1982602
2,0,10000,997756
2,1,20000,1106312
2,2,30000,1201407
2,3,40000,1305847
2,4,50000,1401125
2,5,60000,1511274
2,6,70000,1608739
2,7,80000,1676309
2,8,90000,1736914
2,9,100000,1785461
2,10,110000,1825425
2,11,120000,1849741
2,12,130000,1870471
2,13,140000,1884903
2,14,150000,1900715
2,15,160000,1909188
2,16,170000,1917915
2,17,180000,1923744
2,18,190000,1929246
2,19,200000,1934460
2,20,210000,1938924
2,21,220000,1941854
2,22,230000,1946815
2,23,240000,1948600
2,24,250000,1951722
2,25,260000,1955579
2,26,270000,1955669
2,27,280000,1959700
2,28,290000,1960250
2,29,300000,1960815
2,30,310000,1962949
2,31,320000,1963548
2,32,330000,1964684
2,33,340000,1966408
2,34,350000,1967407
2,35,360000,1967935
2,36,370000,1969194
2,37,380000,1970119
2,38,390000,1970918
2,39,400000,1971386
2,40,410000,1973398
2,41,420000,1973588
2,42,430000,1974969
2,43,440000,1975724
2,44,450000,1976609
2,45,460000,1977451
2,46,470000,1978245
2,47,480000,1978483
2,48,490000,1979347
2,49,500000,1979934
2,50,510000,1981198
2,51,520000,1981521
2,52,530000,1981962
2,53,540000,1982183
2,54,550000,1982447
2,55,560000,1983363
2,56,570000,1983543
2,57,580000,1983819
2,58,590000,1984067
2,59,600000,1984281
2,60,610000,1984598
2,61,620000,1984817
2,62,630000,1985057
2,63,640000,1985465
2,64,650000,1985647
2,65,660000,1985826
2,66,670000,1986050
2,67,680000,1986099
2,68,690000,1986355
2,69,700000,1986588
2,70,710000,1986713
2,71,720000,1986805
2,72,730000,1986920
2,73,740000,1987015
2,74,750000,1987231
2,75,760000,1987231
2,76,770000,1987339
2,77,780000,1987415
2,78,790000,1987598
2,79,800000,1987666
2,80,810000,1987734
2,81,820000,1987891
2,82,830000,1987997
2,83,840000,1988072
2,84,850000,1988223
2,85,860000,1988299
2,86,870000,1988354
2,87,880000,1988402
2,88,890000,1988474
2,89,900000,1988496
2,90,910000,1988553
2,91,920000,1988588
2,92,930000,1988632
2,93,940000,1988732
2,94,950000,1988841
2,95,960000,1988899
2,96,970000,1988912
2,97,980000,1988952
2,98,990000,1989007
2,99,1000000,1989039
3,0,10000,1000919
3,1,20000,1105032
3,2,30000,1200686
3,3,40000,1305135
3,4,50000,1403450
3,5,60000,1504308
3,6,70000,1591459
3,7,80000,1674257
3,8,90000,1738933
3,9,100000,1785973
3,10,110000,1821962
3,11,120000,1846393
3,12,130000,1871751
3,13,140000,1885095
3,14,150000,1901951
3,15,160000,1913315
3,16,170000,1918289
3,17,180000,1924565
3,18,190000,1929288
3,19,200000,1932586
3,20,210000,1937420
3,21,220000,1939433
3,22,230000,1941372
3,23,240000,1944349
3,24,250000,1946258
3,25,260000,1949991
3,26,270000,1951278
3,27,280000,1953429
3,28,290000,1956507
3,29,300000,1957077
3,30,310000,1958615
3,31,320000,1960238
3,32,330000,1961906
3,33,340000,1962907
3,34,350000,1965254
3,35,360000,1966236
3,36,370000,1966645
3,37,380000,1968508
3,38,390000,1969064
3,39,400000,1970250
3,40,410000,1970595
3,41,420000,1971493
3,42,430000,1972547
3,43,440000,1973126
3,44,450000,1973637
3,45,460000,1973918
3,46,470000,1974712
3,47,480000,1975418
3,48,490000,1975995
3,49,500000,1976438
3,50,510000,1976776
3,51,520000,1977547
3,52,530000,1977845
3,53,540000,1978272
3,54,550000,1978876
3,55,560000,1978995
3,56,570000,1979461
3,57,580000,1980025
3,58,590000,1980025
3,59,600000,1980456
3,60,610000,1980775
3,61,620000,1980918
3,62,630000,1981257
3,63,640000,1981615
3,64,650000,1981838
3,65,660000,1982111
3,66,670000,1982350
3,67,680000,1982433
3,68,690000,1982564
3,69,700000,1982618
3,70,710000,1982764
3,71,720000,1982817
3,72,730000,1982866
3,73,740000,1982973
3,74,750000,1983024
3,75,760000,1983171
3,76,770000,1983257
3,77,780000,1983427
3,78,790000,1983427
3,79,800000,1983516
3,80,810000,1983516
3,81,820000,1983581
3,82,830000,1983604
3,83,840000,1983678
3,84,850000,1983681
3,85,860000,1983736
3,86,870000,1983743
3,87,880000,1983866
3,88,890000,1983866
3,89,900000,1983895
3,90,910000,1983927
3,91,920000,1983973
3,92,930000,1984015
3,93,940000,1984037
3,94,950000,1984079
3,95,960000,1984116
3,96,970000,1984147
3,97,980000,1984185
3,98,990000,1984231
3,99,1000000,1984268
4,0,10000,999566
4,1,20000,1108463
4,2,30000,1215172
4,3,40000,1305333
4,4,50000,1402705
4,5,60000,1503377
4,6,70000,1592094
4,7,80000,1674773
4,8,90000,1734828
4,9,100000,1784310
4,10,110000,1820077
4,11,120000,1847411
4,12,130000,1871630
4,13,140000,1887340
4,14,150000,1901333
4,15,160000,1912317
4,16,170000,1919209
4,17,180000,1926850
4,18,190000,1931196
4,19,200000,1935993
4,20,210000,1941339
4,21,220000,1943617
4,22,230000,1945649
4,23,240000,1948163
4,24,250000,1952468
4,25,260000,1953942
4,26,270000,1954904
4,27,280000,1958171
4,28,290000,1958622
4,29,300000,1959558
4,30,310000,1961893
4,31,320000,1963078
4,32,330000,1964203
4,33,340000,1965658
4,34,350000,1966138
4,35,360000,1967854
4,36,370000,1969080
4,37,380000,1971406
4,38,390000,1971406
4,39,400000,1972436
4,40,410000,1973070
4,41,420000,1973786
4,42,430000,1974204
4,43,440000,1975260
4,44,450000,1975877
4,45,460000,1976783
4,46,470000,1977336
4,47,480000,1977954
4,48,490000,1978361
4,49,500000,1978773
4,50,510000,1980101
4,51,520000,1980398
4,52,530000,1980808
4,53,540000,1981554
4,54,550000,1981554
4,55,560000,1982000
4,56,570000,1982155
4,57,580000,1982642
4,58,590000,1983048
4,59,600000,1983304
4,60,610000,1983537
4,61,620000,1983993
4,62,630000,1984134
4,63,640000,1984272
4,64,650000,1984475
4,65,660000,1984825
4,66,670000,1984825
4,67,680000,1984945
4,68,690000,1985134
4,69,700000,1985394
4,70,710000,1985665
4,71,720000,1985665
4,72,730000,1985721
4,73,740000,1985856
4,74,750000,1985953
4,75,760000,1986062
4,76,770000,1986184
4,77,780000,1986212
4,78,790000,1986300
4,79,800000,1986380
4,80,810000,1986437
4,81,820000,1986486
4,82,830000,1986551
4,83,840000,1986625
4,84,850000,1986678
4,85,860000,1986694
4,86,870000,1986737
4,87,880000,1986796
4,88,890000,1986838
4,89,900000,1986852
4,90,910000,1986877
