run,generation,evaluations,best_fitness
1,0,150000,999318
1,1,300000,1153237
1,2,450000,1331328
1,3,600000,1442795
1,4,750000,1580344
1,5,900000,1664520
1,6,1050000,1753237
1,7,1200000,1796343
1,8,1350000,1840159
1,9,1500000,1868222
1,10,1650000,1892875
1,11,1800000,1908097
1,12,1950000,1919085
1,13,2100000,1929656
1,14,2250000,1934051
1,15,2400000,1938665
1,16,2550000,1944159
1,17,2700000,1948365
1,18,2850000,1952116
1,19,3000000,1954304
1,20,3150000,1958120
1,21,3300000,1959963
1,22,3450000,1961851
1,23,3600000,1965863
1,24,3750000,1966414
1,25,3900000,1968474
1,26,4050000,1968904
1,27,4200000,1971590
1,28,4350000,1972072
1,29,4500000,1972785
1,30,4650000,1975776
1,31,4800000,1975776
1,32,4950000,1976596
1,33,5100000,1977376
1,34,5250000,1978487
1,35,5400000,1979066
1,36,5550000,1979720
1,37,5700000,1980501
1,38,5850000,1980860
1,39,6000000,1982176
1,40,6150000,1982347
1,41,6300000,1983003
1,42,6450000,1983184
1,43,6600000,1983941
1,44,6750000,1984347
1,45,6900000,1984816
1,46,7050000,1985917
1,47,7200000,1985948
1,48,7350000,1986631
1,49,7500000,1987229
1,50,7650000,1987783
1,51,7800000,1988133
1,52,7950000,1988517
1,53,8100000,1988981
1,54,8250000,1989171
1,55,8400000,1989814
1,56,8550000,1990056
1,57,8700000,1990407
1,58,8850000,1991002
1,59,9000000,1991045
1,60,9150000,1991405
1,61,9300000,1991773
1,62,9450000,1992113
1,63,9600000,1992530
1,64,9750000,1992819
1,65,9900000,1993109
1,66,10050000,1993297
1,67,10200000,1993567
1,68,10350000,1993809
1,69,10500000,1994011
1,70,10650000,1994114
1,71,10800000,1994321
1,72,10950000,1994327
1,73,11100000,1994571
1,74,11250000,1994621
1,75,11400000,1994727
1,76,11550000,1994806
1,77,11700000,1994859
1,78,11850000,1995039
1,79,12000000,1995088
1,80,12150000,1995291
1,81,12300000,1995299
1,82,12450000,1995383
1,83,12600000,1995561
1,84,12750000,1995638
1,85,12900000,1995745
1,86,13050000,1995778
1,87,13200000,1995861
1,88,13350000,1995948
1,89,13500000,1996121
1,90,13650000,1996121
1,91,13800000,1996223
1,92,13950000,1996326
1,93,14100000,1996326
1,94,14250000,1996389
1,95,14400000,1996424
1,96,14550000,1996450
1,97,14700000,1996503
1,98,14850000,1996571
1,99,15000000,1996613
1,100,15150000,1996664
1,101,15300000,1996707
1,102,15450000,1996803
1,103,15600000,1996850
1,104,15750000,1996884
1,105,15900000,1996946
1,106,16050000,1996953
1,107,16200000,1996967
1,108,16350000,1997019
1,109,16500000,1997045
1,110,16650000,1997064
1,111,16800000,1997083
1,112,16950000,1997142
1,113,17100000,1997142
1,114,17250000,1997167
1,115,17400000,1997179
1,116,17550000,1997202
1,117,17700000,1997226
1,118,17850000,1997248
1,119,18000000,1997262
1,120,18150000,1997282
1,121,18300000,1997291
1,122,18450000,1997295
1,123,18600000,1997304
1,124,18750000,1997316
1,125,18900000,1997317
1,126,19050000,1997328
1,127,19200000,1997328
1,128,19350000,1997336
1,129,19500000,1997336
1,130,19650000,1997337
1,131,19800000,1997371
1,132,19950000,1997371
1,133,20100000,1997387
1,134,20250000,1997387
1,135,20400000,1997395
1,136,20550000,1997409
1,137,20700000,1997414
1,138,20850000,1997414
1,139,21000000,1997423
1,140,21150000,1997426
1,141,21300000,1997446
1,142,21450000,1997446
1,143,21600000,1997446
1,144,21750000,1997457
1,145,21900000,1997457
1,146,22050000,1997461
1,147,22200000,1997461
1,148,22350000,1997461
1,149,22500000,1997478
1,150,22650000,1997478
