run,generation,evaluations,best_fitness
1,0,100000,1000342
1,1,200000,1157519
1,2,300000,1306046
1,3,400000,1438358
1,4,500000,1562190
1,5,600000,1662940
1,6,700000,1737993
1,7,800000,1794072
1,8,900000,1839076
1,9,1000000,1868621
1,10,1100000,1890263
1,11,1200000,1906263
1,12,1300000,1917951
1,13,1400000,1927809
1,14,1500000,1935380
1,15,1600000,1939471
1,16,1700000,1946856
1,17,1800000,1950670
1,18,1900000,1952396
1,19,2000000,1956022
1,20,2100000,1959187
1,21,2200000,1961470
1,22,2300000,1964791
1,23,2400000,1966342
1,24,2500000,1968668
1,25,2600000,1970300
1,26,2700000,1971148
1,27,2800000,1972336
1,28,2900000,1973870
1,29,3000000,1975155
1,30,3100000,1976148
1,31,3200000,1978003
1,32,3300000,1979094
1,33,3400000,1980715
1,34,3500000,1980783
1,35,3600000,1982417
1,36,3700000,1983233
1,37,3800000,1983303
1,38,3900000,1983892
1,39,4000000,1984715
1,40,4100000,1985581
1,41,4200000,1985943
1,42,4300000,1986724
1,43,4400000,1987014
1,44,4500000,1987590
1,45,4600000,1988304
1,46,4700000,1988895
1,47,4800000,1989148
1,48,4900000,1989446
1,49,5000000,1990143
1,50,5100000,1990934
1,51,5200000,1990949
1,52,5300000,1991351
1,53,5400000,1991445
1,54,5500000,1991786
1,55,5600000,1992177
1,56,5700000,1992563
1,57,5800000,1992658
1,58,5900000,1993009
1,59,6000000,1993308
1,60,6100000,1993776
1,61,6200000,1994257
1,62,6300000,1994284
1,63,6400000,1994364
1,64,6500000,1994593
1,65,6600000,1994880
1,66,6700000,1994899
1,67,6800000,1994979
1,68,6900000,1995105
1,69,7000000,1995247
1,70,7100000,1995465
1,71,7200000,1995574
1,72,7300000,1995674
1,73,7400000,1995755
1,74,7500000,1995806
1,75,7600000,1995943
1,76,7700000,1996044
1,77,7800000,1996143
1,78,7900000,1996298
1,79,8000000,1996372
1,80,8100000,1996413
1,81,8200000,1996511
1,82,8300000,1996577
1,83,8400000,1996621
1,84,8500000,1996694
1,85,8600000,1996742
1,86,8700000,1996761
1,87,8800000,1996798
1,88,8900000,1996887
1,89,9000000,1996932
1,90,9100000,1996997
1,91,9200000,1997004
1,92,9300000,1997103
1,93,9400000,1997103
1,94,9500000,1997111
1,95,9600000,1997141
1,96,9700000,1997186
1,97,9800000,1997212
1,98,9900000,1997241
1,99,10000000,1997287
2,0,100000,999093
2,1,200000,1150634
2,2,300000,1297202
2,3,400000,1441080
2,4,500000,1568508
2,5,600000,1660724
2,6,700000,1740214
2,7,800000,1800381
2,8,900000,1835318
2,9,1000000,1865549
2,10,1100000,1886151
2,11,1200000,1903004
2,12,1300000,1916601
2,13,1400000,1925896
2,14,1500000,1933494
2,15,1600000,1939002
2,16,1700000,1944741
2,17,1800000,1947416
2,18,1900000,1952569
2,19,2000000,1955095
2,20,2100000,1958078
2,21,2200000,1963337
2,22,2300000,1965373
2,23,2400000,1965652
2,24,2500000,1967192
2,25,2600000,1969276
2,26,2700000,1971759
2,27,2800000,1972023
2,28,2900000,1972588
2,29,3000000,1974636
2,30,3100000,1975875
2,31,3200000,1978434
2,32,3300000,1978434
2,33,3400000,1979441
2,34,3500000,1980247
2,35,3600000,1981525
2,36,3700000,1982198
2,37,3800000,1983221
2,38,3900000,1983553
2,39,4000000,1983836
2,40,4100000,1984183
2,41,4200000,1984704
2,42,4300000,1985404
2,43,4400000,1986161
2,44,4500000,1986621
2,45,4600000,1987172
2,46,4700000,1987431
2,47,4800000,1988592
2,48,4900000,1988592
2,49,5000000,1989219
2,50,5100000,1989539
2,51,5200000,1989779
2,52,5300000,1990726
2,53,5400000,1991100
2,54,5500000,1991356
2,55,5600000,1991714
2,56,5700000,1992420
2,57,5800000,1992420
2,58,5900000,1992638
2,59,6000000,1993416
2,60,6100000,1993416
2,61,6200000,1993682
2,62,6300000,1993826
2,63,6400000,1994054
2,64,6500000,1994202
2,65,6600000,1994422
2,66,6700000,1994454
2,67,6800000,1994520
2,68,6900000,1994692
2,69,7000000,1994890
2,70,7100000,1994969
2,71,7200000,1995061
2,72,7300000,1995312
2,73,7400000,1995389
2,74,7500000,1995468
2,75,7600000,1995530
2,76,7700000,1995582
2,77,7800000,1995663
2,78,7900000,1995764
2,79,8000000,1995766
2,80,8100000,1995838
2,81,8200000,1995896
2,82,8300000,1995952
2,83,8400000,1996096
2,84,8500000,1996096
2,85,8600000,1996115
2,86,8700000,1996132
2,87,8800000,1996188
2,88,8900000,1996223
2,89,9000000,1996259
2,90,9100000,1996275
2,91,9200000,1996361
2,92,9300000,1996367
2,93,9400000,1996380
2,94,9500000,1996412
2,95,9600000,1996431
2,96,9700000,1996457
2,97,9800000,1996479
2,98,9900000,1996501
2,99,10000000,1996509
3,0,100000,998335
3,1,200000,1159745
3,2,300000,1297064
3,3,400000,1435690
3,4,500000,1573082
3,5,600000,1674861
3,6,700000,1746198
3,7,800000,1797099
3,8,900000,1841581
3,9,1000000,1863974
3,10,1100000,1886812
3,11,1200000,1902550
3,12,1300000,1918289
