run,generation,evaluations,best_fitness
1,0,100,990714
1,1,200,991986
1,2,300,991986
1,3,400,993166
1,4,500,993166
1,5,600,993166
1,6,700,993166
1,7,800,993166
1,8,900,993166
1,9,1000,993359
1,10,1100,993359
1,11,1200,993901
1,12,1300,993901
1,13,1400,993901
1,14,1500,993901
1,15,1600,993901
1,16,1700,993901
1,17,1800,995387
1,18,1900,995387
1,19,2000,995387
1,20,2100,995387
1,21,2200,995387
1,22,2300,995387
1,23,2400,995387
1,24,2500,995387
1,25,2600,995387
1,26,2700,995387
1,27,2800,995387
1,28,2900,995387
1,29,3000,996416
1,30,3100,996416
1,31,3200,996416
1,32,3300,996416
1,33,3400,996416
1,34,3500,996416
1,35,3600,996416
1,36,3700,996416
1,37,3800,996416
1,38,3900,996416
1,39,4000,996416
1,40,4100,996416
1,41,4200,996416
1,42,4300,996416
1,43,4400,996416
1,44,4500,996416
1,45,4600,996416
1,46,4700,996416
1,47,4800,996416
1,48,4900,996416
1,49,5000,996416
1,50,5100,996416
1,51,5200,996416
1,52,5300,996416
1,53,5400,996416
1,54,5500,996416
1,55,5600,996416
1,56,5700,996416
1,57,5800,996416
1,58,5900,996416
1,59,6000,996416
1,60,6100,996416
1,61,6200,996416
1,62,6300,996416
1,63,6400,996416
1,64,6500,996416
1,65,6600,996416
1,66,6700,996416
1,67,6800,996886
1,68,6900,996886
1,69,7000,996886
1,70,7100,996886
1,71,7200,996886
1,72,7300,996886
1,73,7400,996886
1,74,7500,996886
1,75,7600,996886
1,76,7700,996886
1,77,7800,996886
1,78,7900,996886
1,79,8000,996886
1,80,8100,996886
1,81,8200,996886
1,82,8300,996886
1,83,8400,996886
1,84,8500,996886
1,85,8600,996886
1,86,8700,996886
1,87,8800,996886
1,88,8900,996886
1,89,9000,996886
1,90,9100,996886
1,91,9200,996886
1,92,9300,996886
1,93,9400,996886
1,94,9500,996886
1,95,9600,996886
1,96,9700,996886
1,97,9800,996886
1,98,9900,996886
1,99,10000,996886
1,100,10100,996886
1,101,10200,996886
1,102,10300,996886
1,103,10400,996886
1,104,10500,996886
1,105,10600,996886
1,106,10700,996886
1,107,10800,996886
1,108,10900,996886
1,109,11000,996886
1,110,11100,996886
1,111,11200,996886
1,112,11300,996886
1,113,11400,996886
1,114,11500,996886
1,115,11600,996886
1,116,11700,996886
1,117,11800,996886
1,118,11900,996886
1,119,12000,996886
1,120,12100,996886
1,121,12200,996886
1,122,12300,996886
1,123,12400,996886
1,124,12500,996886
1,125,12600,996886
1,126,12700,996886
1,127,12800,996886
1,128,12900,996886
1,129,13000,996886
1,130,13100,996886
1,131,13200,996886
1,132,13300,996886
1,133,13400,996886
1,134,13500,996886
1,135,13600,996886
1,136,13700,996886
1,137,13800,996886
1,138,13900,996886
1,139,14000,996886
1,140,14100,996886
1,141,14200,996886
1,142,14300,996886
1,143,14400,996886
1,144,14500,996886
1,145,14600,996886
1,146,14700,996886
1,147,14800,996886
1,148,14900,996886
1,149,15000,996886
1,150,15100,996886
1,151,15200,996886
1,152,15300,996886
1,153,15400,996886
1,154,15500,996886
1,155,15600,996886
1,156,15700,996886
1,157,15800,996886
1,158,15900,998006
1,159,16000,998006
1,160,16100,998006
1,161,16200,998006
1,162,16300,998006
1,163,16400,998006
1,164,16500,998006
1,165,16600,998006
1,166,16700,998006
1,167,16800,998006
1,168,16900,998006
1,169,17000,998006
1,170,17100,998006
1,171,17200,998006
1,172,17300,998006
1,173,17400,998006
1,174,17500,998006
1,175,17600,998006
1,176,17700,998006
1,177,17800,998006
1,178,17900,998006
1,179,18000,998006
1,180,18100,998006
1,181,18200,998006
1,182,18300,998006
1,183,18400,998006
1,184,18500,998006
1,185,18600,998006
1,186,18700,998006
1,187,18800,998006
1,188,18900,998006
1,189,19000,998006
1,190,19100,998006
1,191,19200,998006
1,192,19300,998006
1,193,19400,998006
1,194,19500,998006
1,195,19600,998006
1,196,19700,998006
1,197,19800,998006
1,198,19900,998006
1,199,20000,998006
1,200,20100,998006
1,201,20200,998006
1,202,20300,998006
1,203,20400,998006
1,204,20500,998006
1,205,20600,998006
1,206,20700,998006
1,207,20800,998006
1,208,20900,998006
1,209,21000,998006
1,210,21100,998006
1,211,21200,998006
1,212,21300,998006
1,213,21400,998006
1,214,21500,998006
1,215,21600,998006
1,216,21700,998006
1,217,21800,998006
1,218,21900,998006
1,219,22000,998006
1,220,22100,998006
1,221,22200,998006
1,222,22300,998006
1,223,22400,998006
1,224,22500,998006
1,225,22600,998006
1,226,22700,998006
1,227,22800,998006
1,228,22900,998006
1,229,23000,998006
1,230,23100,998006
1,231,23200,998006
1,232,23300,998006
1,233,23400,998006
1,234,23500,998006
1,235,23600,998006
1,236,23700,998006
1,237,23800,998006
1,238,23900,998006
1,239,24000,998006
1,240,24100,998006
1,241,24200,998006
1,242,24300,998006
1,243,24400,998006
1,244,24500,998006
1,245,24600,998006
1,246,24700,998006
1,247,24800,998006
1,248,24900,998006
1,249,25000,998006
1,250,25100,998006
1,251,25200,998006
1,252,25300,998006
1,253,25400,998006
1,254,25500,998006
1,255,25600,998006
1,256,25700,998006
1,257,25800,998006
1,258,25900,998006
1,259,26000,998006
1,260,26100,998006
1,261,26200,998006
1,262,26300,998006
1,263,26400,998006
1,264,26500,998006
1,265,26600,998006
1,266,26700,998006
1,267,26800,998006
1,268,26900,998006
1,269,27000,998006
1,270,27100,998006
1,271,27200,998006
1,272,27300,998006
1,273,27400,998006
1,274,27500,998006
1,275,27600,998006
1,276,27700,998006
1,277,27800,998006
1,278,27900,998006
1,279,28000,998006
1,280,28100,998006
1,281,28200,998006
1,282,28300,998006
1,283,28400,998006
1,284,28500,998006
1,285,28600,998006
1,286,28700,998006
1,287,28800,998006
1,288,28900,998006
1,289,29000,998006
1,290,29100,998006
1,291,29200,998006
1,292,29300,998006
1,293,29400,998006
1,294,29500,998006
1,295,29600,998006
1,296,29700,998006
1,297,29800,998006
1,298,29900,998006
1,299,30000,998006
1,300,30100,998006
1,301,30200,998006
1,302,30300,998006
1,303,30400,998006
1,304,30500,998006
1,305,30600,998006
1,306,30700,998006
1,307,30800,998006
1,308,30900,998006
1,309,31000,998006
1,310,31100,998006
1,311,31200,998006
1,312,31300,998006
1,313,31400,998006
1,314,31500,998006
1,315,31600,998006
1,316,31700,998006
1,317,31800,998006
1,318,31900,998006
1,319,32000,998006
1,320,32100,998006
1,321,32200,998006
1,322,32300,998006
1,323,32400,998006
1,324,32500,998006
1,325,32600,998006
1,326,32700,998006
1,327,32800,998006
1,328,32900,998006
1,329,33000,998006
1,330,33100,998006
1,331,33200,998006
1,332,33300,998006
1,333,33400,998006
1,334,33500,998006
1,335,33600,998006
1,336,33700,998006
1,337,33800,998006
1,338,33900,998006
1,339,34000,998006
1,340,34100,998006
1,341,34200,998006
1,342,34300,998006
1,343,34400,998006
1,344,34500,998006
1,345,34600,998006
1,346,34700,998006
1,347,34800,998006
1,348,34900,998006
1,349,35000,998006
1,350,35100,998006
1,351,35200,998006
1,352,35300,998006
1,353,35400,998006
1,354,35500,998006
1,355,35600,998006
1,356,35700,998006
1,357,35800,998006
1,358,35900,998006
1,359,36000,998006
1,360,36100,998006
1,361,36200,998006
1,362,36300,998006
1,363,36400,998006
1,364,36500,998006
1,365,36600,998006
1,366,36700,998006
1,367,36800,998006
1,368,36900,998006
1,369,37000,998006
1,370,37100,998006
1,371,37200,998006
1,372,37300,998006
1,373,37400,998006
1,374,37500,998006
1,375,37600,998006
1,376,37700,998006
1,377,37800,998006
1,378,37900,998006
1,379,38000,998006
1,380,38100,998006
1,381,38200,998006
1,382,38300,998006
1,383,38400,998006
1,384,38500,998006
1,385,38600,998006
1,386,38700,998006
1,387,38800,998006
1,388,38900,998006
1,389,39000,998006
1,390,39100,998006
1,391,39200,998006
1,392,39300,998006
1,393,39400,998006
1,394,39500,998006
1,395,39600,998006
1,396,39700,998006
1,397,39800,998006
1,398,39900,998006
1,399,40000,998006
1,400,40100,998006
1,401,40200,998006
1,402,40300,998006
1,403,40400,998006
1,404,40500,998006
1,405,40600,998006
1,406,40700,998006
1,407,40800,998006
1,408,40900,998006
1,409,41000,998006
1,410,41100,998006
1,411,41200,998006
1,412,41300,998006
1,413,41400,998006
1,414,41500,998006
1,415,41600,998006
1,416,41700,998006
1,417,41800,998006
1,418,41900,998006
1,419,42000,998006
1,420,42100,998006
1,421,42200,998006
1,422,42300,998006
1,423,42400,998006
1,424,42500,998006
1,425,42600,998006
1,426,42700,998006
1,427,42800,998006
1,428,42900,998006
1,429,43000,998006
1,430,43100,998006
1,431,43200,998006
1,432,43300,998006
1,433,43400,998006
1,434,43500,998006
1,435,43600,998006
1,436,43700,998006
1,437,43800,998006
1,438,43900,998006
1,439,44000,998006
1,440,44100,998006
1,441,44200,998006
1,442,44300,998006
1,443,44400,998006
1,444,44500,998006
1,445,44600,998006
1,446,44700,998006
1,447,44800,998006
1,448,44900,998006
1,449,45000,998006
1,450,45100,998006
1,451,45200,998006
1,452,45300,998006
1,453,45400,998006
1,454,45500,998006
1,455,45600,998006
1,456,45700,998006
1,457,45800,998006
1,458,45900,998006
1,459,46000,998006
1,460,46100,998006
1,461,46200,998006
1,462,46300,998006
1,463,46400,998006
1,464,46500,998006
1,465,46600,998006
1,466,46700,998006
1,467,46800,998006
1,468,46900,998006
1,469,47000,998006
1,470,47100,998006
1,471,47200,998006
1,472,47300,998006
1,473,47400,998006
1,474,47500,998006
1,475,47600,998006
1,476,47700,998006
1,477,47800,998006
1,478,47900,998006
1,479,48000,998006
1,480,48100,998006
1,481,48200,998006
1,482,48300,998006
1,483,48400,998006
1,484,48500,998006
1,485,48600,998006
1,486,48700,998006
1,487,48800,998006
1,488,48900,998006
1,489,49000,998006
1,490,49100,998006
1,491,49200,998006
1,492,49300,998006
1,493,49400,998006
1,494,49500,998006
1,495,49600,998006
1,496,49700,998006
1,497,49800,998006
1,498,49900,998006
1,499,50000,998006
1,500,50100,998006
1,501,50200,998006
1,502,50300,998006
1,503,50400,998006
1,504,50500,998006
1,505,50600,998006
1,506,50700,998006
1,507,50800,998006
1,508,50900,998006
1,509,51000,998006
1,510,51100,998006
1,511,51200,998006
1,512,51300,998006
1,513,51400,998006
1,514,51500,998006
1,515,51600,998006
1,516,51700,998006
1,517,51800,998006
1,518,51900,998006
1,519,52000,998006
1,520,52100,998006
1,521,52200,998006
1,522,52300,998006
1,523,52400,998006
1,524,52500,998006
1,525,52600,998006
1,526,52700,998006
1,527,52800,998006
1,528,52900,998006
1,529,53000,998006
1,530,53100,998006
1,531,53200,998006
1,532,53300,998006
1,533,53400,998006
1,534,53500,998006
1,535,53600,998006
1,536,53700,998006
1,537,53800,998006
1,538,53900,998006
1,539,54000,998006
1,540,54100,998006
1,541,54200,998006
1,542,54300,998006
1,543,54400,998006
1,544,54500,998006
