GA Hiperparametri (C++):
  Velicina populacije: 1000
  Broj generacija: 100
  Velicina turnira: 5
  Verovatnoca ukrstanja: 0.8
  Verovatnoca mutacije: 1
  Elitizam: 30
  Broj pokretanja: 15

  Pokretanje 1: 88686 dinara  (0.11s)
  Pokretanje 2: 88324 dinara  (0.08s)
  Pokretanje 3: 88546 dinara  (0.15s)
  Pokretanje 4: 88760 dinara  (0.08s)
  Pokretanje 5: 88665 dinara  (0.08s)
  Pokretanje 6: 88798 dinara  (0.08s)
  Pokretanje 7: 88592 dinara  (0.08s)
  Pokretanje 8: 88409 dinara  (0.08s)
  Pokretanje 9: 88323 dinara  (0.08s)
  Pokretanje 10: 88602 dinara  (0.08s)
  Pokretanje 11: 88627 dinara  (0.08s)
  Pokretanje 12: 88529 dinara  (0.08s)
  Pokretanje 13: 88560 dinara  (0.08s)
  Pokretanje 14: 88566 dinara  (0.08s)
  Pokretanje 15: 88549 dinara  (0.08s)

  PROSEK:   88569.1
  MEDIJANA: 88566.0
  NAJBOLJI: 88798
    Gen   32: 87610
    Gen   33: 87652
    Gen   34: 87675
    Gen   35: 87675
    Gen   36: 87698
    Gen   37: 87741
    Gen   38: 87801
    Gen   39: 87835
    Gen   40: 87864
    Gen   41: 87874
    Gen   42: 87895
    Gen   43: 87913
    Gen   44: 87933
    Gen   45: 87939
    Gen   46: 87961
    Gen   47: 87991
    Gen   48: 88020
    Gen   49: 88060
    Gen   50: 88090
    Gen   51: 88102
    Gen   52: 88112
    Gen   53: 88137
    Gen   54: 88162
    Gen   55: 88170
    Gen   56: 88180
    Gen   57: 88201
    Gen   58: 88213
    Gen   59: 88232
    Gen   60: 88233
    Gen   61: 88293
    Gen   62: 88293
    Gen   63: 88320
    Gen   64: 88320
    Gen   65: 88320
    Gen   66: 88341
    Gen   67: 88351
    Gen   68: 88357
    Gen   69: 88369
    Gen   70: 88380
    Gen   71: 88388
    Gen   72: 88400
    Gen   73: 88412
    Gen   74: 88416
    Gen   75: 88426
    Gen   76: 88446
    Gen   77: 88446
    Gen   78: 88447
    Gen   79: 88455
    Gen   80: 88462
    Gen   81: 88473
    Gen   82: 88498
    Gen   83: 88499
    Gen   84: 88503
    Gen   85: 88513
    Gen   86: 88513
    Gen   87: 88513
    Gen   88: 88519
    Gen   89: 88523
    Gen   90: 88523
    Gen   91: 88532
    Gen   92: 88532
    Gen   93: 88536
    Gen   94: 88540
    Gen   95: 88540
    Gen   96: 88540
    Gen   97: 88542
    Gen   98: 88546
    Gen   99: 88546

  Pokretanje 4:
    Gen    0: 73223
    Gen    1: 75948
    Gen    2: 78498
    Gen    3: 80078
    Gen    4: 81105
    Gen    5: 81871
    Gen    6: 82977
    Gen    7: 83463
    Gen    8: 83765
    Gen    9: 84327
    Gen   10: 84980
    Gen   11: 84980
    Gen   12: 85141
    Gen   13: 85208
    Gen   14: 85575
    Gen   15: 85745
    Gen   16: 85905
    Gen   17: 85978
    Gen   18: 86120
    Gen   19: 86352
    Gen   20: 86395
    Gen   21: 86552
    Gen   22: 86718
    Gen   23: 86747
    Gen   24: 86881
    Gen   25: 86970
    Gen   26: 87103
    Gen   27: 87321
    Gen   28: 87321
    Gen   29: 87440
    Gen   30: 87440
    Gen   31: 87460
    Gen   32: 87530
    Gen   33: 87539
    Gen   34: 87576
    Gen   35: 87602
    Gen   36: 87654
